 CHV        H2O                                         CH         H2O                                          8.801e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CHV        CO                                          CH         CO                                           7.018e-11  5.000e-01  0.000e+00  2.000e+00  1.000e+02
 CHV        CO2                                         CH         CO2                                          1.794e-14  4.300e+00 -8.525e+02  2.000e+00  1.000e+02
 CHV        O2                                          CH         O2                                           8.236e-13  2.140e+00 -8.655e+02  2.000e+00  1.000e+02
 CHV        H2                                          CH         H2                                           2.441e-10  0.000e+00  6.849e+02  2.000e+00  1.000e+02
 CHV        CH4                                         CH         CH4                                          2.873e-11  0.000e+00  8.404e+01  2.000e+00  1.000e+02
 CHV        N2                                          CH         N2                                           1.330e-13  3.400e+00 -1.917e+02  2.000e+00  1.000e+02
 CH         O2                                          CO         OHV                                          6.709e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH         O2                                          HCO        O3P                                          5.480e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH         O3P                                         CO         H                                            9.465e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH         H                                           C          H2                                           1.827e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH         OH                                          HCO        H                                            4.982e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH         H2O                                         H          H2CO                                         2.800e-11 -1.220e+00  1.198e+01  2.000e+00  1.000e+02
 CH         CO2                                         HCO        CO                                           2.823e-12  0.000e+00  3.447e+02  2.000e+00  1.000e+02
 C          OH                                          CO         H                                            8.303e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 C          O2                                          CO         O3P                                          8.303e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3        O2                                          CH3O       O3P                                          1.253e-11  0.000e+00  1.425e+04  2.000e+00  1.000e+02
 CH3        O2                                          H2CO       OH                                           5.948e-16  3.283e+00  4.079e+03  2.000e+00  1.000e+02
 CH3        O3P                                         H2CO       H                                            1.224e-10  5.000e-02 -6.844e+01  2.000e+00  1.000e+02
 CH3        OH                                          3CH2       H2O                                          1.638e-13  2.568e+00  2.012e+03  2.000e+00  1.000e+02
 CH3        OOH                                         CH3O       OH                                           7.702e-12  2.690e-01 -3.460e+02  2.000e+00  1.000e+02
 CH3OO      O3P                                         CH3O       O2                                           5.978e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3OO      H                                           CH3O       OH                                           1.594e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3OO      OH                                          CH3OH      O2                                           9.963e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3OO      OOH                                         CH3OOH     O2                                           4.102e-13  0.000e+00 -7.901e+02  2.000e+00  1.000e+02
 CH3OO      H2O2                                        CH3OOH     OOH                                          4.002e-12  0.000e+00  5.000e+03  2.000e+00  1.000e+02
 CH3OO      CH3                                         CH3O       CH3O                                         8.436e-12  0.000e+00 -7.100e+02  2.000e+00  1.000e+02
 H2         CH3OO                                       H          CH3OOH                                       2.491e-10  0.000e+00  1.310e+04  2.000e+00  1.000e+02
 CH3OH      H                                           CH3O       H2                                           7.253e-13  2.560e+00  5.183e+03  2.000e+00  1.000e+02
 CH3OH      H                                           CH2OH      H2                                           1.057e-12  2.550e+00  2.738e+03  2.000e+00  1.000e+02
 CH3OH      O3P                                         CH3O       OH                                           1.004e-13  2.500e+00  1.550e+03  2.000e+00  1.000e+02
