 C2H5NO     O3P                                         C2H4       NO         OH                                2.306e-15  6.500e+00  1.379e+02  2.000e+00  1.000e+02
 C2H5NO     OH                                          C2H4       NO         H2O                               1.375e-12  2.000e+00  4.982e+02  2.000e+00  1.000e+02
 C2H5NO     OOH                                         C2H4       NO         H2O2                              2.847e-13  2.500e+00  8.479e+03  2.000e+00  1.000e+02
 C2H5NO     O2                                          C2H4       NO         OOH                               1.890e-12  2.500e+00  2.474e+04  2.000e+00  1.000e+02
 CH3NO2     H                                           H2CO       H2         NO                                2.325e-13  0.000e+00  9.561e+02  2.000e+00  1.000e+02
 CH2CH2NH2  OOH                                         H2CO       OH         CH2NH2                            3.985e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH3CHNH2   OOH                                         CH3        OH         H2NCHO                            3.985e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2CHNH    O2                                          H2CO       CO         NH2                               4.206e-11 -1.757e+00  5.569e+03  2.000e+00  1.000e+02
 CH3CNH     O2                                          H2CO       CO         NH2                               3.155e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2CHN(S)  O3P                                         HCO        HCN        H                                 4.982e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CH2CHN(S)  OH                                          H2CO       HCN        H                                 4.982e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 c-C2H3N    O3P                                         H2CN       HCO                                          1.661e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 c-C2H3N    O3P                                         C2H3       NO                                           1.661e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 c-C2H3N    OH                                          H2CN       H2CO                                         8.303e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CHCNH      O3P                                         H          CO         HNC                               1.661e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CHCNH      O2                                          HNC        CO         OH                                2.370e-13 -2.000e-02  5.133e+02  2.000e+00  1.000e+02
 CHCNH      O2                                          HNC        HCO        O3P                               1.683e-15  2.690e+00  1.781e+03  2.000e+00  1.000e+02
 CH3NCH     O3P                                         CH3        NCO        H                                 1.162e-10  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 HOCHO      SH                                          H2O        OCS        H                                 5.513e-13  2.060e+00  1.812e+04  2.000e+00  1.000e+02
 HOCHO      SH                                          H2O        CO         SH                                1.690e-13  1.510e+00 -4.841e+02  2.000e+00  1.000e+02
 CS2        O2                                          OCS        SO                                           5.978e-13  0.000e+00  1.790e+04  2.000e+00  1.000e+02
 SH         N2O                                         HSO        N2                                           6.381e-13  1.620e+00  1.385e+04  2.000e+00  1.000e+02
