H2^+ + CO = HCO^+ + H                             	2.16d-9		0.	0.  	0. !Le Teuff 2000
CO2^+ + e^- = CO + O                              	6.58d-6		0.	0.  	-0.5 !Le Teuff (2000)
O2^+ + e^- = O + O                                	1.06d-5		0.	0.  	-0.7 !Le Teuff (1999-2000) via Krasnopolsky (2002)
HCO2^+ + e^- = CO2 + H                            	4.16d-6		0.	0.  	-0.5 !LT00
HCO2^+ + e^- = CO + OH                            	4.16d-6		0.	0.  	-0.5 !LT00
HCO^+ + e^- = CO + H                              	3.3d-5		0.	0.  	-1. !Le Teuff 2000
H2^+ + e^- = H + H                                	1.86d-7		0.	0.  	-0.43 !Le Teuff 2000
OH^+ + e^- = O + H                                	6.5d-7		0.	0.  	-0.5 !Le Teuff 2000
CO + O + CO2 = CO2 + CO2                          	5.928d-33	0.	-2031.4  	0. !Not in JPL, Slanger et al. (72).
O + O2 + CO2 = O3 + CO2                           	1.216d-27	-2.4	0.  	0. !JPL 2002 x 2.3 (Lindner88)
O + O + CO2 = O2 + CO2                            	8.16d-35	0.	900. 	0. !Tsang and Hampson (86) x 4.6 (Lindner88, Ar bath)
O + O + CO2 = O2(1Delta) + CO2                    	1.584d-34	0.	900. 	0. !Tsang and Hampson (86) x 4.6 (Lindner88, Ar bath)
H + O2 + CO2 = HO2 + CO2                          	1.205d-27	-1.6	0.  	0. !JPL2002 x 2.3 (Lindner, 1988)
OH + OH + CO2 = H2O2 + CO2                        	4.761d-28	-1.	0.  	0. !JPL2002 x 2.3 (Lindner, 1988)
H + H + CO2 = H2 + CO2                            	2.700d-31	-.6	0.   0. !Baulch et al. 1992 x 1.0 (H2 bath??)
HO2 + HO2 + CO2 = H2O2 + O2 + CO2                 	3.91d-33	0.	1000.  	0. !JPL2002, Lindner 1988
H2O = H2Oice                                      	0.		0.	0.	0.
H2Oice = H2O                                      	0.		0.	0.	0.
