He2^+ + O2 = O2^+ + He + He                       
He2^+ + O2 = O^+ + O + He + He                    
O^+ + H2O = H2O^+ + O                             
O^+(2D) + O2 = O2^+ + O                           
O^+(2D) + O2 = O^+ + O2                           
O2^+(X2Pig) + H2 = O2^+ + H2                      
O2^+(X2Pig) + H2 = HO2^+ + H                      
O2^+(X2Pig) + H2 = H2^+ + O2                      
O2^+ + H2O2 = H2O2^+ + O2                         
O2^+(X2Pig) + O2 = O2^+ + O2                      
H^- + H = H2 + e^-                                
H^- + H2O = HO^- + H2                             
H^- + O2 = HO2 + e^-                              
HO^- + H = H2O + e^-                              
HO^- + O = HO2 + e^-                              
HO^- + O3 = O3^- + HO                             
O^- + H2 = H2O + e^-                              
O^- + H2 = HO^- + H                               
O^- + O = O2 + e^-                                
O^- + O2 = O2^- + O                               
O^- + O2(1Delta) = O3 + e^-                       
O^- + O3 = O2 + O2 + e^-                          
O^- + O3 = O3^- + O                               
O^- + O3 = O2^- + O2                              
O2^- + H = HO2 + e^-                              
O2^- + H = H^- + O2                               
O2^- + O = O3 + e^-                               
O2^- + O = O^- + O2                               
O2^- + O3 = O3^- + O2                             
O3^- + H = HO^- + O2                              
O3^- + O = O2^- + O2                              
He + HV = He^+ + e^-                              
O(1D) + HV = O^+ + e^-                            
O(1S) + HV = O^+ + e^-                            
H^- + HV = H^+ + e^- + e^-                        
H^- + HV = H + e^-                                
O2 + HV = O^+ + O + e^-                           
O2 + HV = O(1S) + O(1S)                           
HO + HV = O(1S) + H                               
HO + HV = HO^+ + e^-                              
H2O + HV = HO^+ + H + e^-                         
H2O + HV = O^+ + H2 + e^-                         
H2O + HV = H^+ + HO + e^-                         
H2O + HV = H2O^+ + e^-                            
O3 + HV = O2 + O(1S)                              
HeH^+ + e^- = H + He                              
H2O^+ + e^- = O + H2                              
H2O^+ + e^- = HO + H                              
H2O^+ + e^- = O + H + H                           
H3^+ + e^- = H + H + H                            
H3^+ + e^- = H2 + H                               
HO2^+ + e^- = O2 + H                              
H3O^+ + e^- = HO + H + H                          
H3O^+ + e^- = H2O + H                             
H3O^+ + e^- = HO + H2                             
H3O^+ + e^- = H2 + H + O                          
H^+ + e^- + M = H + HV                            
He^++ + e^- + M = He + HV                         
