Reaction                                          	Hu        	Agundez   	VULCAN    	stand     	velliet   	MOSES     
HO2 + H2O2 = H2O + HO + O2                        	0000      	0000      	0000      	0066      	0000      	0000      
O(1S) + O2 = O + O2                               	0000      	0000      	0000      	0072      	0000      	0000      
O(1S) + O3 = O2 + O2                              	0000      	0000      	0000      	0073      	0000      	0000      
O(1S) + O3 = O2 + O + O                           	0000      	0000      	0000      	0074      	0000      	0000      
O(1S) + H2O = HO + HO                             	0000      	0000      	0000      	0075      	0000      	0000      
O(1S) + H2 = HO + H                               	0000      	0000      	0000      	0076      	0000      	0000      
O2(a1Deltag) + O3 = O2 + O2 + O                   	0000      	0000      	0000      	0077      	0000      	0000      
O2(a1Deltag) + H2O = O2 + H2O                     	0000      	0000      	0000      	0078      	0000      	0000      
H^+ + O = O^+ + H                                 	0000      	0000      	0000      	0083      	0000      	0000      
HO^+ + H2 = H2O^+ + H                             	0000      	0000      	0000      	0084      	0000      	0000      
HO^+ + H2O = H2O^+ + HO                           	0000      	0000      	0000      	0085      	0000      	0000      
HO^+ + H2O = H3O^+ + O                            	0000      	0000      	0000      	0086      	0000      	0000      
HO^+ + O2 = O2^+ + HO                             	0000      	0000      	0000      	0087      	0000      	0000      
HO2^+ + H2 = H3^+ + O2                            	0000      	0000      	0000      	0088      	0000      	0000      
H2^+ + H = H^+ + H2                               	0000      	0000      	0000      	0089      	0000      	0000      
H2^+ + H2 = H3^+ + H                              	0000      	0000      	0000      	0090      	0000      	0000      
H2^+ + He = HeH^+ + H                             	0000      	0000      	0000      	0091      	0000      	0000      
H2^+ + O2 = HO2^+ + H                             	0000      	0000      	0000      	0092      	0000      	0000      
H2O^+ + H2 = H3O^+ + H                            	0000      	0000      	0000      	0093      	0000      	0000      
H2O^+ + H2O = H3O^+ + HO                          	0000      	0000      	0000      	0094      	0000      	0000      
H2O^+ + O = O2^+ + H2                             	0000      	0000      	0000      	0095      	0000      	0000      
H2O^+ + O2 = O2^+ + H2O                           	0000      	0000      	0000      	0096      	0000      	0000      
H2O2^+ + H2O = H3O^+ + HO2                        	0000      	0000      	0000      	0097      	0000      	0000      
H2O2^+ + H2O2 = H3O2^+ + HO2                      	0000      	0000      	0000      	0098      	0000      	0000      
H3^+ + H2O = H3O^+ + H2                           	0000      	0000      	0000      	0099      	0000      	0000      
H3^+ + O2 = HO2^+ + H2                            	0000      	0000      	0000      	0100      	0000      	0000      
H3O2^+ + H2O = H3O^+ + H2O2                       	0000      	0000      	0000      	0101      	0000      	0000      
H3O2^+ + O2 = HO4^+ + H2                          	0000      	0000      	0000      	0102      	0000      	0000      
He^+ + H2 = HeH^+ + H                             	0000      	0000      	0000      	0103      	0000      	0000      
He^+ + H2 = H2^+ + He                             	0000      	0000      	0000      	0104      	0000      	0000      
He^+ + H2 = H^+ + H + He                          	0000      	0000      	0000      	0105      	0000      	0000      
He^+ + H2O = HeH^+ + HO                           	0000      	0000      	0000      	0106      	0000      	0000      
He^+ + H2O = HO^+ + H + He                        	0000      	0000      	0000      	0107      	0000      	0000      
He^+ + H2O = H2O^+ + He                           	0000      	0000      	0000      	0108      	0000      	0000      
He^+ + O2 = O^+ + O + He                          	0000      	0000      	0000      	0109      	0000      	0000      
He^+ + O2 = O2^+ + He                             	0000      	0000      	0000      	0110      	0000      	0000      
HeH^+ + H2 = H3^+ + He                            	0000      	0000      	0000      	0111      	0000      	0000      
HeH^+ + O2 = HO2^+ + He                           	0000      	0000      	0000      	0112      	0000      	0000      
He2^+ + O2 = O2^+ + He + He                       	0000      	0000      	0000      	0113      	0000      	0000      
He2^+ + O2 = O^+ + O + He + He                    	0000      	0000      	0000      	0114      	0000      	0000      
O^+ + H2 = HO^+ + H                               	0000      	0000      	0000      	0116      	0000      	0000      
O^+ + H2O = H2O^+ + O                             	0000      	0000      	0000      	0117      	0000      	0000      
O^+(2D) + O2 = O2^+ + O                           	0000      	0000      	0000      	0118      	0000      	0000      
O^+(2D) + O2 = O^+ + O2                           	0000      	0000      	0000      	0119      	0000      	0000      
O2^+(X2Pig) + H2 = O2^+ + H2                      	0000      	0000      	0000      	0120      	0000      	0000      
O2^+(X2Pig) + H2 = HO2^+ + H                      	0000      	0000      	0000      	0121      	0000      	0000      
O2^+(X2Pig) + H2 = H2^+ + O2                      	0000      	0000      	0000      	0122      	0000      	0000      
O2^+ + H2O2 = H2O2^+ + O2                         	0000      	0000      	0000      	0123      	0000      	0000      
O2^+(X2Pig) + O2 = O2^+ + O2                      	0000      	0000      	0000      	0124      	0000      	0000      
