O2^- + O = O3 + e^-                               	0000      	0000      	0000      	0000      	0000      	0141      	0000      
O2^- + O = O^- + O2                               	0000      	0000      	0000      	0000      	0000      	0142      	0000      
O2^- + O3 = O3^- + O2                             	0000      	0000      	0000      	0000      	0000      	0143      	0000      
O3^- + H = HO^- + O2                              	0000      	0000      	0000      	0000      	0000      	0144      	0000      
O3^- + O = O2^- + O2                              	0000      	0000      	0000      	0000      	0000      	0145      	0000      
He + HV = He^+ + e^-                              	0000      	0000      	0000      	0000      	0000      	0147      	0000      
O(1D) + HV = O^+ + e^-                            	0000      	0000      	0000      	0000      	0000      	0149      	0000      
O(1S) + HV = O^+ + e^-                            	0000      	0000      	0000      	0000      	0000      	0150      	0000      
H^- + HV = H^+ + e^- + e^-                        	0000      	0000      	0000      	0000      	0000      	0151      	0000      
H^- + HV = H + e^-                                	0000      	0000      	0000      	0000      	0000      	0152      	0000      
O2 + HV = O^+ + O + e^-                           	0000      	0000      	0000      	0000      	0000      	0158      	0000      
O2 + HV = O(1S) + O(1S)                           	0000      	0000      	0000      	0000      	0000      	0159      	0000      
HO + HV = O(1S) + H                               	0000      	0000      	0000      	0000      	0000      	0162      	0000      
HO + HV = HO^+ + e^-                              	0000      	0000      	0000      	0000      	0000      	0163      	0000      
H2O + HV = HO^+ + H + e^-                         	0000      	0000      	0000      	0000      	0000      	0168      	0000      
H2O + HV = O^+ + H2 + e^-                         	0000      	0000      	0000      	0000      	0000      	0169      	0000      
H2O + HV = H^+ + HO + e^-                         	0000      	0000      	0000      	0000      	0000      	0170      	0000      
H2O + HV = H2O^+ + e^-                            	0000      	0000      	0000      	0000      	0000      	0171      	0000      
O3 + HV = O2 + O(1S)                              	0000      	0000      	0000      	0000      	0000      	0174      	0000      
HeH^+ + e^- = H + He                              	0000      	0000      	0000      	0000      	0000      	0177      	0000      
H2O^+ + e^- = O + H2                              	0000      	0000      	0000      	0000      	0000      	0180      	0000      
H2O^+ + e^- = HO + H                              	0000      	0000      	0000      	0000      	0000      	0181      	0000      
H2O^+ + e^- = O + H + H                           	0000      	0000      	0000      	0000      	0000      	0182      	0000      
H3^+ + e^- = H + H + H                            	0000      	0000      	0000      	0000      	0000      	0183      	0000      
H3^+ + e^- = H2 + H                               	0000      	0000      	0000      	0000      	0000      	0184      	0000      
HO2^+ + e^- = O2 + H                              	0000      	0000      	0000      	0000      	0000      	0185      	0000      
H3O^+ + e^- = HO + H + H                          	0000      	0000      	0000      	0000      	0000      	0186      	0000      
H3O^+ + e^- = H2O + H                             	0000      	0000      	0000      	0000      	0000      	0187      	0000      
H3O^+ + e^- = HO + H2                             	0000      	0000      	0000      	0000      	0000      	0188      	0000      
H3O^+ + e^- = H2 + H + O                          	0000      	0000      	0000      	0000      	0000      	0189      	0000      
H^+ + e^- + M = H + HV                            	0000      	0000      	0000      	0000      	0000      	0190      	0000      
He^++ + e^- + M = He + HV                         	0000      	0000      	0000      	0000      	0000      	0191      	0000      
